id,direction,chosenAlt,hhid,pnum,pid,personType,age,cdapActivity,schoolAtHome,schoolMaz,eligible,ArriveInterval,returnInterval,homeSchDist,schHomeDist,ad1Arr,ad1Ret,ad2Dep,ad2Ret,escortType,bundle,childid,chaufid,chaufPnum,chaufPid,chaufPersonType,chaufDArrive,chaufReturn,randNum
0,0,0,1,1,1,1,47,1,-1,-1,0,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,2,2,7,8,1,1,23316,1,23,53,186,179,17,59,0,0,0,0,0,0,0,0,0,0,0,52747253
2,0,0,1,1,1,1,47,1,-1,-1,0,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,1,2,2,7,8,1,1,23316,1,23,53,186,179,17,59,0,0,0,0,0,0,0,0,0,0,0,787955449
4,0,0,13,1,18,1,48,1,-1,-1,0,18,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,13,2,19,2,44,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,7,13,3,20,6,19,1,1,24076,1,18,46,97,97,0,0,18,87,0,0,0,0,0,0,0,0,0,442619995
7,1,7,13,4,21,6,17,1,1,24076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442619995
8,1,7,13,5,22,7,12,1,1,23100,1,20,48,160,144,0,0,18,87,2,1,2,1,2,19,2,0,0,442619995
9,0,0,13,1,18,1,48,1,-1,-1,0,56,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,13,2,19,2,44,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,7,13,3,20,6,19,1,1,24076,1,18,46,97,97,0,0,56,87,0,0,0,0,0,0,0,0,0,711338826
12,2,7,13,4,21,6,17,1,1,24076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711338826
13,2,7,13,5,22,7,12,1,1,23100,1,20,48,160,144,0,0,56,87,2,1,2,1,2,19,2,0,0,711338826
14,0,0,20,1,29,1,47,1,-1,-1,0,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,20,2,30,1,47,1,-1,-1,0,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,4,20,3,31,6,17,1,1,24076,1,18,47,97,97,15,54,19,63,0,0,0,0,0,0,0,0,0,133277646
17,1,4,20,4,32,7,15,1,1,24076,1,20,52,97,97,15,54,19,63,1,1,3,2,1,29,1,19,63,133277646
18,1,4,20,5,33,7,14,1,1,23100,1,18,45,160,144,15,54,19,63,0,0,0,0,0,0,0,0,0,133277646
19,0,0,20,1,29,1,47,1,-1,-1,0,57,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,20,2,30,1,47,1,-1,-1,0,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,20,3,31,6,17,1,1,24076,1,18,47,97,97,15,54,57,63,0,0,0,0,0,0,0,0,0,937813496
22,2,2,20,4,32,7,15,1,1,24076,1,20,52,97,97,15,54,57,63,1,1,3,1,2,30,1,15,54,937813496
23,2,2,20,5,33,7,14,1,1,23100,1,18,45,160,144,15,54,57,63,0,0,0,0,0,0,0,0,0,937813496
24,0,0,22,1,35,1,46,1,-1,-1,0,28,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,22,2,36,3,38,1,-1,22119,0,43,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,22,3,37,7,15,1,1,24076,1,18,53,256,256,28,86,43,94,0,0,0,0,0,0,0,0,0,412710524
27,1,1,22,4,38,7,12,1,1,23100,1,22,51,203,203,28,86,43,94,0,0,0,0,0,0,0,0,0,412710524
28,1,1,22,5,39,7,10,1,1,23762,1,16,44,104,104,28,86,43,94,0,0,0,0,0,0,0,0,0,412710524
29,0,0,22,1,35,1,46,1,-1,-1,0,53,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,22,2,36,3,38,1,-1,22119,0,43,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,1,22,3,37,7,15,1,1,24076,1,18,53,256,256,43,94,53,86,0,0,0,0,0,0,0,0,0,330455200
32,2,1,22,4,38,7,12,1,1,23100,1,22,51,203,203,43,94,53,86,0,0,0,0,0,0,0,0,0,330455200
33,2,1,22,5,39,7,10,1,1,23762,1,16,44,104,104,43,94,53,86,0,0,0,0,0,0,0,0,0,330455200
34,0,0,25,1,46,4,31,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,25,2,47,1,36,1,-1,-1,0,47,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,25,3,48,7,12,1,1,26241,1,19,49,1306,1306,47,68,0,0,0,0,0,0,0,0,0,0,0,340367780
37,1,1,25,4,49,6,16,1,1,24209,1,17,48,130,130,47,68,0,0,0,0,0,0,0,0,0,0,0,340367780
38,1,1,25,5,50,7,14,1,1,22321,1,17,26,359,359,47,68,0,0,0,0,0,0,0,0,0,0,0,340367780
39,0,0,25,1,46,4,31,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,25,2,47,1,36,1,-1,-1,0,47,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,1,25,3,48,7,12,1,1,26241,1,19,49,1306,1306,47,68,0,0,0,0,0,0,0,0,0,0,0,98482288
42,2,1,25,4,49,6,16,1,1,24209,1,17,48,130,130,47,68,0,0,0,0,0,0,0,0,0,0,0,98482288
43,2,1,25,5,50,7,14,1,1,22321,1,17,26,359,359,47,68,0,0,0,0,0,0,0,0,0,0,0,98482288
44,0,0,29,1,55,1,35,1,-1,-1,0,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,29,2,56,2,34,1,-1,-1,0,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,28,29,3,57,7,8,1,1,23316,1,20,47,117,117,22,52,22,61,1,1,1,1,2,56,2,22,52,659481623
47,1,28,29,4,58,7,6,1,1,23410,1,22,53,90,90,22,52,22,61,0,0,0,0,0,0,0,0,0,659481623
48,1,28,29,5,59,8,3,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659481623
49,1,28,29,6,60,8,2,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659481623
50,1,28,29,7,61,8,2,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659481623
51,1,28,29,8,62,8,0,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659481623
52,0,0,29,1,55,1,35,1,-1,-1,0,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,29,2,56,2,34,1,-1,-1,0,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,1,29,3,57,7,8,1,1,23316,1,20,47,117,117,22,52,22,61,0,0,0,0,0,0,0,0,0,29614064
55,2,1,29,4,58,7,6,1,1,23410,1,22,53,90,90,22,52,22,61,0,0,0,0,0,0,0,0,0,29614064
56,2,1,29,5,59,8,3,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29614064
57,2,1,29,6,60,8,2,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29614064
58,2,1,29,7,61,8,2,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29614064
59,2,1,29,8,62,8,0,1,2,23473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29614064
60,0,0,46,1,91,1,30,1,-1,-1,0,19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,46,2,92,4,28,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,30,46,3,93,7,7,1,2,22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958559621
63,1,30,46,4,94,8,5,1,1,22821,1,21,38,103,103,0,0,19,67,1,1,1,2,1,91,1,19,67,958559621
64,0,0,46,1,91,1,30,1,-1,-1,0,19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,46,2,92,4,28,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,1,46,3,93,7,7,1,2,22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20908579
67,2,1,46,4,94,8,5,1,1,22821,1,21,38,103,103,0,0,19,67,0,0,0,0,0,0,0,0,0,20908579
68,0,0,50,1,101,1,39,1,-1,-1,0,12,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,50,2,102,3,38,1,-1,22121,0,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,31,50,3,103,7,7,2,1,21811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880770253
71,1,31,50,4,104,8,4,1,1,22121,1,19,35,55,55,12,53,30,57,2,1,1,2,2,102,3,30,57,880770253
72,0,0,50,1,101,1,39,1,-1,-1,0,12,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,50,2,102,3,38,1,-1,22121,0,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,1,50,3,103,7,7,2,1,21811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420528239
75,2,1,50,4,104,8,4,1,1,22121,1,19,35,55,55,30,57,12,53,0,0,0,0,0,0,0,0,0,420528239
76,0,0,61,1,119,4,29,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,61,2,120,4,29,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,1,61,3,121,7,10,1,1,23316,1,22,46,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,93828667
79,1,1,61,4,122,7,9,1,1,23410,1,22,49,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,93828667
80,0,0,61,1,119,4,29,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,61,2,120,4,29,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,7,61,3,121,7,10,1,1,23316,1,22,46,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,343196938
83,2,7,61,4,122,7,9,1,1,23410,1,22,49,86,86,0,0,0,0,2,1,2,1,1,119,4,0,0,343196938
84,0,0,69,1,137,4,34,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,69,2,138,1,33,1,-1,-1,0,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,69,3,139,7,6,1,1,23316,1,18,48,169,169,21,60,0,0,0,0,0,0,0,0,0,0,0,64417223
87,1,1,69,4,140,7,14,1,1,25142,1,23,46,378,378,21,60,0,0,0,0,0,0,0,0,0,0,0,64417223
88,0,0,69,1,137,4,34,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,69,2,138,1,33,1,-1,-1,0,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,31,69,3,139,7,6,1,1,23316,1,18,48,169,169,21,60,0,0,0,0,0,0,0,0,0,0,0,603086567
91,2,31,69,4,140,7,14,1,1,25142,1,23,46,378,378,21,60,0,0,2,1,1,2,1,137,4,0,0,603086567
92,0,0,78,1,160,1,38,1,-1,-1,0,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,78,2,161,4,38,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,29,78,3,162,7,14,1,1,23410,1,22,50,39,39,0,0,14,56,2,1,1,1,2,161,4,0,0,803817694
95,0,0,78,1,160,1,38,1,-1,-1,0,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,78,2,161,4,38,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,29,78,3,162,7,14,1,1,23410,1,22,50,39,39,0,0,14,56,2,1,1,1,2,161,4,0,0,830866359
98,0,0,79,1,163,1,37,1,-1,-1,0,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,1,79,2,164,7,15,1,1,24076,1,24,59,150,150,34,76,0,0,0,0,0,0,0,0,0,0,0,759179592
100,1,1,79,3,165,7,13,1,1,23410,1,21,47,39,39,34,76,0,0,0,0,0,0,0,0,0,0,0,759179592
101,0,0,79,1,163,1,37,1,-1,-1,0,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,1,79,2,164,7,15,1,1,24076,1,24,59,150,150,34,76,0,0,0,0,0,0,0,0,0,0,0,178305019
103,2,1,79,3,165,7,13,1,1,23410,1,21,47,39,39,34,76,0,0,0,0,0,0,0,0,0,0,0,178305019
104,0,0,80,1,166,1,53,1,-1,-1,0,14,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,80,2,167,2,53,1,-1,-1,0,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,29,80,3,168,6,16,1,1,24076,1,18,49,150,150,23,46,14,50,2,1,1,1,2,167,2,23,46,801710670
107,0,0,80,1,166,1,53,1,-1,-1,0,14,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,80,2,167,2,53,1,-1,-1,0,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,29,80,3,168,6,16,1,1,24076,1,18,49,150,150,23,46,14,50,2,1,1,1,2,167,2,23,46,782160319
110,0,0,84,1,178,1,29,1,-1,22118,0,18,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,1,84,2,179,7,12,1,1,20839,1,17,48,1510,1506,18,85,0,0,0,0,0,0,0,0,0,0,0,206811358
112,0,0,84,3,180,1,35,3,-1,25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,84,1,178,1,29,1,-1,22118,0,60,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,1,84,2,179,7,12,1,1,20839,1,17,48,1510,1506,60,85,0,0,0,0,0,0,0,0,0,0,0,359524070
115,0,0,84,3,180,1,35,3,-1,25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,85,1,181,1,45,1,-1,-1,0,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,85,2,182,1,45,1,-1,-1,0,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1,85,3,183,8,6,1,1,23543,1,18,55,71,71,18,53,13,54,0,0,0,0,0,0,0,0,0,47946213
119,0,0,85,1,181,1,45,1,-1,-1,0,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,85,2,182,1,45,1,-1,-1,0,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2,1,85,3,183,8,6,1,1,23543,1,18,55,71,71,18,53,13,54,0,0,0,0,0,0,0,0,0,102070132
122,0,0,86,1,184,1,45,1,-1,25483,0,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,86,2,185,1,51,1,-1,-1,0,18,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,1,86,3,186,7,11,1,1,26619,1,13,49,2127,2127,19,54,18,70,0,0,0,0,0,0,0,0,0,723313340
