hhid,direction,obBundleNum,obBundleType,ibBundleNum,ibBundleType,chauffPnum,child1Pnum,child2Pnum,child2Pnum,partySize,party,homeTaz,homeMaz,chauffTourNum,chauffTourPurp,chauffPrimDestTaz,chauffPrimDestMaz,child1TourId,child2TourId,child3TourId,child1PersTripId,child1SchoolTaz,child1SchoolMaz,child2PersTripId,child2SchoolTaz,child2SchoolMaz,child3PersTripId,child3SchoolTaz,child3SchoolMaz,obBundelDepMin,obStop1Min,obStop2Min,obStop3Min,ibStop1Min,ibStop2Min,ibStop3Min,ibBundelerrMin,obBundelDepInt,obStop1Int,obStop2Int,obStop3Int,ibStop1Int,ibStop2Int,ibStop3Int,ibBundelerrInt,numStopsAfterDropoffs
13,1,1,1,0,0,2,5,0,0,2,"[ 2,5 ]",14,23664,1,411,384,23100,1,0,0,1,384,23100,0,0,0,0,0,0,20,21,0,0,0,0,0,0,298.68887,301,0,0,0.0,0,0,0,0
13,2,0,0,1,1,2,5,0,0,2,"[ 2,5 ]",14,23664,2,411,384,23100,1,0,0,1,384,23100,0,0,0,0,0,0,0,0,0,0,21,0,0,49,0.0,0,0,0,733.68884,301,0,0,0
20,1,1,2,0,0,1,4,0,0,2,"[ 1,4 ]",14,23758,1,1,381,21874,1,0,0,1,53,24076,0,0,0,0,0,0,20,20,0,0,0,0,0,0,287.6312,289,0,0,0.0,0,0,0,0
20,2,0,0,1,2,2,4,0,0,2,"[ 2,4 ]",14,23758,1,1,14,23758,1,0,0,1,53,24076,0,0,0,0,0,0,0,0,0,0,20,0,0,53,0.0,0,0,0,782.63116,289,0,0,1
29,1,1,2,0,0,2,3,0,0,2,"[ 2,3 ]",16,23473,1,1,16,23473,1,0,0,1,19,23642,0,0,0,0,0,0,20,20,0,0,0,0,0,0,288.05258,288,0,0,0.0,0,0,0,0
46,1,1,2,0,0,1,4,0,0,2,"[ 1,4 ]",18,22250,1,1,18,22327,1,0,0,1,18,22250,0,0,0,0,0,0,21,21,0,0,0,0,0,0,311.5432,311,0,0,0.0,0,0,0,0
50,1,1,1,0,0,2,4,0,0,2,"[ 2,4 ]",18,22250,1,411,201,22114,1,0,0,1,201,22114,0,0,0,0,0,0,19,19,0,0,0,0,0,0,275.80276,278,0,0,0.0,0,0,0,0
61,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",20,23881,3,411,23,23410,1,0,0,2,23,23410,0,0,0,0,0,0,0,0,0,0,48,0,0,50,0.0,0,0,0,744.20087,708,0,0,1
69,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",21,23934,1,411,44,25142,1,0,0,2,44,25142,0,0,0,0,0,0,0,0,0,0,47,0,0,47,0.0,0,0,0,703.62964,693,0,0,0
78,1,1,1,0,0,2,3,0,0,2,"[ 2,3 ]",22,23655,2,411,195,22321,1,0,0,1,195,22321,0,0,0,0,0,0,22,22,0,0,0,0,0,0,319.20407,324,0,0,0.0,0,0,0,0
78,2,0,0,1,1,2,3,0,0,2,"[ 2,3 ]",22,23655,3,411,195,22321,1,0,0,1,195,22321,0,0,0,0,0,0,0,0,0,0,22,0,0,51,0.0,0,0,0,754.2041,324,0,0,2
80,1,1,2,0,0,1,3,0,0,2,"[ 1,3 ]",22,23723,1,1,34,24151,1,0,0,1,53,24076,0,0,0,0,0,0,18,18,0,0,0,0,0,0,257.92548,260,0,0,0.0,0,0,0,0
80,2,0,0,1,2,1,3,0,0,2,"[ 1,3 ]",22,23723,1,1,22,23723,1,0,0,1,53,24076,0,0,0,0,0,0,0,0,0,0,18,0,0,50,0.0,0,0,0,737.9255,260,0,0,0
103,2,0,0,1,2,1,4,0,0,2,"[ 1,4 ]",24,22237,1,1,24,22237,1,0,0,2,155,21813,0,0,0,0,0,0,0,0,0,0,51,0,0,52,0.0,0,0,0,775.54645,763,0,0,0
128,1,1,1,0,0,2,4,0,0,2,"[ 2,4 ]",30,21938,1,411,155,21813,1,0,0,1,155,21813,0,0,0,0,0,0,18,18,0,0,0,0,0,0,263.66568,267,0,0,0.0,0,0,0,0
130,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",30,21957,1,411,155,21813,1,0,0,1,155,21813,0,0,0,0,0,0,20,20,0,0,0,0,0,0,296.44025,299,0,0,0.0,0,0,0,0
140,1,1,2,0,0,1,2,0,0,2,"[ 1,2 ]",33,23922,1,1,463,463,1,0,0,1,205,25073,0,0,0,0,0,0,18,19,0,0,0,0,0,0,266.50626,273,0,0,0.0,0,0,0,0
